type,shape_color,background_color,size,path,prompt
CoT_123,"(0, 0, 255)","(0, 0, 0)",100,"images/VC_CoT/123_heptagon_scolor-(0, 0, 255)_bcolor-(0, 0, 0)_size-100.png",Observe the shape in the image carefully. List all numbers you see in the image. Count the total number of numbers you observe. Each number is associated with a side of this shape. How many sides does this shape have?
CoT_123,"(0, 0, 255)","(0, 0, 0)",150,"images/VC_CoT/123_heptagon_scolor-(0, 0, 255)_bcolor-(0, 0, 0)_size-150.png",Observe the shape in the image carefully. List all numbers you see in the image. Count the total number of numbers you observe. Each number is associated with a side of this shape. How many sides does this shape have?
CoT_123,"(0, 0, 255)","(255, 0, 0)",100,"images/VC_CoT/123_heptagon_scolor-(0, 0, 255)_bcolor-(255, 0, 0)_size-100.png",Observe the shape in the image carefully. List all numbers you see in the image. Count the total number of numbers you observe. Each number is associated with a side of this shape. How many sides does this shape have?
CoT_123,"(0, 0, 255)","(255, 0, 0)",150,"images/VC_CoT/123_heptagon_scolor-(0, 0, 255)_bcolor-(255, 0, 0)_size-150.png",Observe the shape in the image carefully. List all numbers you see in the image. Count the total number of numbers you observe. Each number is associated with a side of this shape. How many sides does this shape have?
CoT_123,"(0, 0, 255)","(255, 255, 255)",100,"images/VC_CoT/123_heptagon_scolor-(0, 0, 255)_bcolor-(255, 255, 255)_size-100.png",Observe the shape in the image carefully. List all numbers you see in the image. Count the total number of numbers you observe. Each number is associated with a side of this shape. How many sides does this shape have?
CoT_123,"(0, 0, 255)","(255, 255, 255)",150,"images/VC_CoT/123_heptagon_scolor-(0, 0, 255)_bcolor-(255, 255, 255)_size-150.png",Observe the shape in the image carefully. List all numbers you see in the image. Count the total number of numbers you observe. Each number is associated with a side of this shape. How many sides does this shape have?
CoT_123,"(0, 127, 0)","(0, 0, 0)",100,"images/VC_CoT/123_heptagon_scolor-(0, 127, 0)_bcolor-(0, 0, 0)_size-100.png",Observe the shape in the image carefully. List all numbers you see in the image. Count the total number of numbers you observe. Each number is associated with a side of this shape. How many sides does this shape have?
CoT_123,"(0, 127, 0)","(0, 0, 0)",150,"images/VC_CoT/123_heptagon_scolor-(0, 127, 0)_bcolor-(0, 0, 0)_size-150.png",Observe the shape in the image carefully. List all numbers you see in the image. Count the total number of numbers you observe. Each number is associated with a side of this shape. How many sides does this shape have?
CoT_123,"(0, 127, 0)","(0, 0, 255)",100,"images/VC_CoT/123_heptagon_scolor-(0, 127, 0)_bcolor-(0, 0, 255)_size-100.png",Observe the shape in the image carefully. List all numbers you see in the image. Count the total number of numbers you observe. Each number is associated with a side of this shape. How many sides does this shape have?
CoT_123,"(0, 127, 0)","(0, 0, 255)",150,"images/VC_CoT/123_heptagon_scolor-(0, 127, 0)_bcolor-(0, 0, 255)_size-150.png",Observe the shape in the image carefully. List all numbers you see in the image. Count the total number of numbers you observe. Each number is associated with a side of this shape. How many sides does this shape have?
